detection_id,pixel_x,pixel_y,lat_deg,lon_deg,symbol_class,tri_overlap,dot_overlap,confidence,blob_area_px2,solidity,elevation_ocr
896,1667,4267,37.235056,-78.842136,obstacle,0.7353,0.0,LOW,98,0.5269,
897,3502,4276,37.229224,-76.973229,obstacle,0.8515,0.0,MEDIUM,207,0.5595,
898,1738,4297,37.215616,-78.769824,obstacle,0.8361,0.0,MEDIUM,101,0.5459,
899,3265,4298,37.214968,-77.214608,obstacle,0.7206,0.0,LOW,105,0.544,
900,3366,4303,37.211728,-77.111742,obstacle,0.8438,0.0,MEDIUM,120,0.5882,
901,1781,4307,37.209137,-78.726029,obstacle,0.8382,0.0,MEDIUM,114,0.57,
902,2191,4314,37.204601,-78.308453,obstacle,0.8986,0.0,MEDIUM,117,0.568,
903,2756,4330,37.194233,-77.733013,obstacle,0.7206,0.0,LOW,107,0.5544,
904,1915,4333,37.192289,-78.589553,obstacle,0.8689,0.0,MEDIUM,106,0.573,
905,2286,4335,37.190993,-78.211698,obstacle,0.8529,0.0,MEDIUM,112,0.5545,
906,2367,4342,37.186457,-78.129201,obstacle,0.8689,0.0,MEDIUM,104,0.5389,
907,3327,4342,37.186457,-77.151462,obstacle,0.8529,0.0,MEDIUM,111,0.555,
908,2141,4345,37.184513,-78.359377,obstacle,0.6765,0.0,LOW,101,0.5344,
909,2163,4349,37.181921,-78.336971,obstacle,0.8676,0.0,MEDIUM,106,0.53,
910,3406,4355,37.178033,-77.071002,obstacle,0.8197,0.0,MEDIUM,104,0.5389,
911,1514,4358,37.176089,-78.997963,obstacle,0.8382,0.0,MEDIUM,106,0.5521,
912,1843,4361,37.174145,-78.662884,obstacle,0.6957,0.0,LOW,101,0.5153,
913,3361,4366,37.170906,-77.116834,obstacle,0.8088,0.0,MEDIUM,109,0.5477,
914,7364,4373,37.16637,-73.039866,obstacle,0.75,0.0,MEDIUM,153,0.5604,
915,2685,4375,37.165074,-77.805325,obstacle,0.8529,0.0,MEDIUM,104,0.5333,
916,1855,4382,37.160538,-78.650662,obstacle,0.8689,0.0,MEDIUM,102,0.5574,
917,3913,4383,37.15989,-76.554634,obstacle,0.6667,0.5,LOW,91,0.6149,
918,3198,4384,37.159242,-77.282846,obstacle,0.9016,0.0,HIGH,109,0.5767,
919,7384,4384,37.159242,-73.019497,obstacle,0.7941,0.0,MEDIUM,111,0.5635,
920,3640,4385,37.158594,-76.832679,obstacle,0.5529,0.0,LOW,160,0.5461,
921,7550,4391,37.154706,-72.850429,obstacle,0.7525,0.0,MEDIUM,188,0.5054,
922,2092,4394,37.152762,-78.409283,obstacle,0.7059,0.0,LOW,105,0.5497,
923,3248,4401,37.148226,-77.231922,obstacle,0.7941,0.0,MEDIUM,106,0.5222,
924,1607,4405,37.145634,-78.903245,obstacle,0.6765,0.0,LOW,104,0.5503,
925,2095,4418,37.13721,-78.406227,obstacle,0.8971,0.0,MEDIUM,104,0.5306,
926,3374,4418,37.13721,-77.103594,obstacle,0.9016,0.0,HIGH,108,0.5427,
927,2067,4421,37.135266,-78.434745,obstacle,0.7647,0.0,MEDIUM,106,0.5436,
928,7368,4421,37.135266,-73.035792,obstacle,0.8676,0.0,MEDIUM,119,0.5833,
929,7865,4427,37.131379,-72.529609,obstacle,0.8687,0.0,MEDIUM,204,0.5469,
930,3349,4430,37.129435,-77.129056,obstacle,0.8966,0.0,MEDIUM,113,0.5825,
931,1997,4431,37.128787,-78.506038,obstacle,0.8689,0.0,MEDIUM,102,0.5484,
932,3460,4447,37.118419,-77.016005,obstacle,0.7945,0.0,MEDIUM,134,0.6119,
933,8089,4449,37.117123,-72.30147,obstacle,0.8621,0.0,MEDIUM,109,0.5648,
934,3132,4452,37.115179,-77.350065,obstacle,0.8906,0.0,MEDIUM,118,0.5673,
935,3357,4466,37.106107,-77.120908,obstacle,0.7353,0.0,LOW,105,0.5469,
936,1966,4469,37.104163,-78.537611,obstacle,0.8986,0.0,MEDIUM,119,0.5561,
937,3203,4472,37.102219,-77.277754,obstacle,0.918,0.0,HIGH,102,0.5426,
938,1937,4486,37.093148,-78.567147,obstacle,0.7353,0.0,LOW,117,0.5764,
939,2451,4507,37.07954,-78.043649,obstacle,0.7353,0.0,LOW,109,0.5619,
940,2128,4508,37.078892,-78.372617,obstacle,0.7941,0.0,MEDIUM,109,0.5561,
941,1902,4513,37.075652,-78.602794,obstacle,0.7206,0.0,LOW,107,0.5602,
942,3212,4518,37.072412,-77.268587,obstacle,0.8382,0.0,MEDIUM,110,0.55,
943,3257,4520,37.071116,-77.222756,obstacle,0.7353,0.0,LOW,107,0.5487,
944,3377,4527,37.06658,-77.100538,obstacle,0.7971,0.0,MEDIUM,110,0.5528,
945,1833,4532,37.06334,-78.673069,obstacle,0.7206,0.0,LOW,105,0.5469,
946,1616,4537,37.0601,-78.894078,obstacle,0.7188,0.0,LOW,108,0.5538,
947,3228,4540,37.058156,-77.252292,obstacle,0.8529,0.0,MEDIUM,117,0.5625,
948,2013,4547,37.053621,-78.489742,obstacle,0.7647,0.0,MEDIUM,107,0.5487,
949,1842,4554,37.049085,-78.663902,obstacle,0.7941,0.0,MEDIUM,109,0.5533,
950,3137,4555,37.048437,-77.344973,obstacle,0.6765,0.0,LOW,102,0.5397,
951,2065,4556,37.047789,-78.436782,obstacle,0.7391,0.0,LOW,105,0.5357,
952,2165,4562,37.043901,-78.334934,obstacle,0.9375,0.0,HIGH,122,0.5281,
953,3297,4563,37.043253,-77.182017,obstacle,0.8361,0.0,MEDIUM,104,0.5474,
954,2235,4579,37.032885,-78.26364,obstacle,0.6885,0.0,LOW,103,0.545,
955,2024,4582,37.030941,-78.478539,obstacle,0.7246,0.0,LOW,103,0.5255,
956,1708,4586,37.028349,-78.800378,obstacle,0.6912,0.0,LOW,108,0.5684,
957,3085,4599,37.019925,-77.397934,obstacle,0.8361,0.0,MEDIUM,110,0.5699,
958,1986,4601,37.01863,-78.517241,obstacle,0.9344,0.0,HIGH,106,0.5464,
959,3411,4607,37.014742,-77.06591,obstacle,0.7794,0.0,MEDIUM,107,0.5515,
960,3582,4611,37.01215,-76.89175,obstacle,0.8529,0.0,MEDIUM,117,0.5821,
961,3082,4618,37.007614,-77.400989,obstacle,0.8125,0.0,MEDIUM,104,0.5253,
962,3942,4622,37.005022,-76.525098,obstacle,0.8529,0.0,MEDIUM,111,0.5468,
963,4288,4623,37.004374,-76.172705,obstacle,0.5319,0.0,MARGINAL,140,0.6009,
964,2047,4624,37.003726,-78.455114,obstacle,0.7059,0.0,LOW,108,0.5625,
965,4259,4624,37.003726,-76.202241,obstacle,0.5745,0.0,LOW,155,0.6102,
966,3252,4629,37.000486,-77.227848,obstacle,0.9016,0.0,HIGH,102,0.534,
967,1915,4631,36.99919,-78.589553,obstacle,0.8676,0.0,MEDIUM,117,0.5792,
968,2875,4632,36.998542,-77.611814,obstacle,0.8406,0.0,MEDIUM,126,0.5943,
969,2913,4635,36.996598,-77.573112,obstacle,0.9344,0.0,HIGH,101,0.526,
970,2356,4640,36.993358,-78.140404,obstacle,0.5692,0.0,LOW,99,0.6,
971,1774,4644,36.990766,-78.733159,obstacle,0.7941,0.0,MEDIUM,119,0.5891,
972,2888,4647,36.988822,-77.598574,obstacle,0.7536,0.0,MEDIUM,113,0.5381,
973,2937,4649,36.987526,-77.548669,obstacle,0.9016,0.0,HIGH,104,0.5503,
974,2628,4650,36.986878,-77.863378,obstacle,0.8689,0.0,MEDIUM,100,0.5435,
975,1571,4654,36.984286,-78.93991,obstacle,0.9344,0.0,HIGH,110,0.5641,
976,1742,4660,36.980399,-78.76575,obstacle,0.9412,0.0,HIGH,115,0.5583,
977,2695,4660,36.980399,-77.79514,obstacle,0.6301,0.0,LOW,115,0.5425,
978,1555,4665,36.977159,-78.956205,obstacle,0.9344,0.0,HIGH,108,0.5654,
979,1894,4667,36.975863,-78.610941,obstacle,0.7213,0.0,LOW,104,0.5591,
980,2524,4668,36.975215,-77.9693,obstacle,0.7794,0.0,MEDIUM,117,0.5821,
981,2847,4669,36.974567,-77.640332,obstacle,0.7647,0.0,MEDIUM,112,0.5773,
982,3233,4678,36.968735,-77.247199,obstacle,1.0,0.0,HIGH,119,0.5694,
983,3981,4678,36.968735,-76.485378,obstacle,0.9016,0.0,HIGH,103,0.545,
984,3137,4682,36.966143,-77.344973,obstacle,0.8281,0.0,MEDIUM,110,0.5584,
985,2781,4683,36.965495,-77.707551,obstacle,0.8696,0.0,MEDIUM,121,0.5628,
986,1623,4687,36.962903,-78.886949,obstacle,0.7353,0.0,LOW,110,0.567,
987,2328,4717,36.943463,-78.168922,obstacle,0.8971,0.0,MEDIUM,118,0.5784,
988,2983,4725,36.93828,-77.501819,obstacle,0.75,0.0,MEDIUM,109,0.5619,
989,1954,4732,36.933744,-78.549833,obstacle,0.8197,0.0,MEDIUM,103,0.545,
990,2934,4735,36.9318,-77.551724,obstacle,0.8689,0.0,MEDIUM,102,0.5426,
991,3064,4737,36.930504,-77.419322,obstacle,0.7971,0.0,MEDIUM,115,0.5721,
992,4260,4742,36.927264,-76.201222,obstacle,0.5,1.0,MARGINAL,82,0.5467,
993,3140,4755,36.91884,-77.341918,obstacle,0.8361,0.0,MEDIUM,105,0.5497,
994,2010,4765,36.91236,-78.492798,obstacle,0.7941,0.0,MEDIUM,116,0.5859,
995,2815,4765,36.91236,-77.672923,obstacle,0.6618,0.0,LOW,103,0.5479,
996,2337,4766,36.911712,-78.159756,obstacle,0.9508,0.0,HIGH,112,0.5657,
997,2302,4767,36.911064,-78.195402,obstacle,0.75,0.0,MEDIUM,110,0.5699,
998,3760,4767,36.911064,-76.710461,obstacle,0.8191,0.0,MEDIUM,178,0.5145,
999,1533,4779,36.903289,-78.978612,obstacle,0.6912,0.0,LOW,102,0.534,
